id,MovieName,Genre,Directors,Stars,Overviews,Watch_time,Year_of_Release,Meta_Score,Votes,Gross_Collection(M$)
203801,The Man from U.N.C.L.E.,"Action, Adventure, Comedy",Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",89,2000,79,63294,6.95
2330,The Darjeeling Limited,"Adventure, Comedy, Drama",Wes Anderson,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other.",120,2009,54,13646,0.04
156022,The Equalizer,"Action, Crime, Thriller",Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,99,1977,79,47591,16.94
6936,Fantastic Beasts and Where to Find Them,"Adventure, Family, Fantasy",David Yates,"Eddie Redmayne, Katherine Waterston, Alison Sudol, Dan Fogler",The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,152,2018,64,83460,2.47
257088,Point Break,"Action, Crime, Thriller",Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,99,1977,79,47591,16.94
,The Birdcage,Comedy,Mike Nichols,"Robin Williams, Nathan Lane, Gene Hackman, Dianne Wiest",A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.,152,2018,64,83460,2.47
297,Meet Joe Black,"Drama, Fantasy, Romance",Martin Brest,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber","Death, who takes the form of a young man killed in an accident, asks a media mogul to act as his guide to teach him about life on Earth and, in the process, he falls in love with the mogul's daughter.",119,1979,61,47591,16.94
64682,The Great Gatsby,"Drama, Romance",Baz Luhrmann,"Leonardo DiCaprio, Carey Mulligan, Joel Edgerton, Tobey Maguire","A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",145,2005,54,154085,57.49
,Batman v Superman: Dawn of Justice (Ultimate Edition),"Action, Adventure, Sci-Fi",Zack Snyder,"Amy Adams, Ben Affleck, Henry Cavill, Jesse Eisenberg",Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.,120,2017,75,47591,16.94
1272,Sunshine,"Sci-Fi, Thriller",Danny Boyle,"Cillian Murphy, Rose Byrne, Chris Evans, Cliff Curtis",A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,134,1992,45,99900,4.16
64688,21 Jump Street,"Action, Comedy, Crime",Phil Lord,"Christopher Miller, Jonah Hill, Channing Tatum, Ice Cube, Brie Larson",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,155,1997,63,79540,44.18
9487,A Bug's Life,"Animation, Adventure, Comedy",John Lasseter,"Andrew Stanton, Kevin Spacey, David Foley, Julia Louis-Dreyfus, Hayden Panettiere","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",95,2014,77,122555,76.27
1725,West Side Story,"Crime, Drama, Musical",Steven Spielberg,"Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",108,2010,53,423481,334.19
75656,Now You See Me,"Crime, Mystery, Thriller",Louis Leterrier,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson","An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",75,1951,68,146246,1.07
9392,The Descent,"Adventure, Horror, Thriller",Neil Marshall,"Shauna Macdonald, Natalie Mendoza, Alex Reid, Saskia Mulder","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",108,2010,53,423481,334.19
10144,The Outfit,"Crime, Drama, Mystery",Graham Moore,"Mark Rylance, Zoey Deutch, John Gumley-Mason, Stephen Knox",An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.,75,1951,68,146246,1.07
2288,Closer,"Drama, Romance",Mike Nichols,"Natalie Portman, Jude Law, Clive Owen, Julia Roberts",The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,109,2009,51,95213,49.2
644,A.I. Artificial Intelligence,"Drama, Sci-Fi",Steven Spielberg,"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards","A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",101,1993,74,42643,31.18
2024,The Patriot,"Action, Drama, History",Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,98,2013,78,207100,33.41
254,King Kong,"Action, Adventure, Romance",Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",123,2010,64,33715,4.43
,A Quiet Place Part II,"Drama, Horror, Sci-Fi",John Krasinski,"Emily Blunt, Millicent Simmonds, Cillian Murphy, John Krasinski","Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",105,2015,67,181493,201.15
682507,The Death of Stalin,"Comedy, Drama, History",Armando Iannucci,"Steve Buscemi, Simon Russell Beale, Jeffrey Tambor, Andrea Riseborough","Moscow, 1953. After being in power for nearly 30 years, Soviet dictator Joseph Vissarionovich Stalin takes ill and quickly dies. Now the members of the Council of Ministers scramble for power.",74,1950,85,165250,85
11977,Caddyshack,"Comedy, Sport",Harold Ramis,"Chevy Chase, Rodney Dangerfield, Bill Murray, Ted Knight",An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,105,2015,67,181493,201.15
,The Founder,"Biography, Drama",John Lee Hancock,"Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini","The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness.",74,1950,85,165250,85
8337,They Live,"Action, Horror, Sci-Fi",John Carpenter,"Roddy Piper, Keith David, Meg Foster, George 'Buck' Flower",They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,98,2013,62,408423,368.06
10634,Friday,"Comedy, Drama",F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr.","It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",126,1987,56,159397,43.85
710,GoldenEye,"Action, Adventure, Thriller",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen","Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",102,2015,73,88218,18.7
568124,Natural Born Killers,"Action, Crime, Romance",Oliver Stone,"Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield",Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,102,1976,84,23681,42.35
1443,The Virgin Suicides,"Drama, Romance",Sofia Coppola,"Kirsten Dunst, Josh Hartnett, James Woods, Kathleen Turner","A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.",136,2018,77,32637,0.39
,"Good Luck to You, Leo Grande","Comedy, Drama",Sophie Hyde,"Emma Thompson, Daryl McCormack, Isabella Laughland, Les Mabaleka","Nancy Stokes, a retired school teacher, is yearning for some adventure, and some sex. And she has a plan, which involves hiring a young sex worker named Leo Grande.",140,1998,62,147213,44.48
9533,Red Dragon,"Crime, Drama, Thriller",Brett Ratner,"Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel","A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",77,1953,76,144748,87.4
,Heathers,"Comedy, Crime",Michael Lehmann,"Winona Ryder, Christian Slater, Shannen Doherty, Lisanne Falk","At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count.",113,2003,64,75538,48.46
20766,The Road,"Drama, Thriller",John Hillcoat,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall","In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",77,1953,76,144748,87.4
604,The Matrix Reloaded,"Action, Sci-Fi",Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",113,2003,64,75538,48.46
8195,Ronin,"Action, Crime, Thriller",John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård",A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.,92,1982,70,27864,6.46
6978,Big Trouble in Little China,"Action, Adventure, Comedy",John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",A rough-and-tumble trucker and his side kick face off with an ancient sorcerer in a supernatural battle beneath Chinatown.,115,1993,60,55198,4.1
,Coherence,"Drama, Mystery, Sci-Fi",James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen",Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,121,1987,67,145682,123.92
15196,Hostiles,"Drama, Western",Scott Cooper,"Scott Shepherd, Rosamund Pike, Ava Cooper, Stella Cooper","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",107,2022,69,47591,16.94
76025,Shame,Drama,Steve McQueen,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters",A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,77,2005,83,282404,53.36
65,8 Mile,"Drama, Music",Curtis Hanson,"Eminem, Brittany Murphy, Kim Basinger, Mekhi Phifer","Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",195,1981,76,23632,40.38
320,Insomnia,"Drama, Mystery, Thriller",Christopher Nolan,"Al Pacino, Robin Williams, Hilary Swank, Martin Donovan",Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,121,2011,85,103295,1.73
6479,I Am Legend,"Action, Drama, Horror",Francis Lawrence,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",124,2018,65,47591,16.94
509,Notting Hill,"Comedy, Drama, Romance",Roger Michell,"Hugh Grant, Julia Roberts, Richard McCabe, Rhys Ifans",The life of a simple bookshop owner changes when he meets the most famous film star in the world.,106,2015,54,95972,15.79
9833,The Phantom of the Opera,"Drama, Musical, Romance",Joel Schumacher,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson",A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,171,1988,73,37161,10.01
333371,10 Cloverfield Lane,"Drama, Horror, Mystery",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,106,2014,57,128403,0.33
,Vice,"Biography, Comedy, Drama",Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.",106,2007,70,148828,5.97
,Carol,Drama,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,115,2011,84,244892,82.58
,A Beautiful Day in the Neighborhood,"Biography, Drama",Marielle Heller,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson",Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,115,1963,83,138706,24.8
9942,Major League,"Comedy, Sport",David S. Ward,"Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.",130,2021,76,47591,16.94
16633,Somewhere in Time,"Drama, Fantasy, Romance",Jeannot Szwarc,"Christopher Reeve, Jane Seymour, Christopher Plummer, Teresa Wright",A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.,133,2010,52,200218,21.15
1265,Bridge to Terabithia,"Drama, Family, Fantasy",Gabor Csupo,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,97,2010,76,92794,0.47
62211,Monsters University,"Animation, Adventure, Comedy",Dan Scanlon,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren","A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",110,2009,78,113008,47.57
,Palmer,Drama,Fisher Stevens,"Justin Timberlake, Juno Temple, Alisha Wainwright, Ryder Allen",An ex-convict strikes up a friendship with a boy from a troubled home.,99,1989,81,113080,106.59
,Lawless,"Biography, Crime, Drama",John Hillcoat,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",92,2010,51,51654,42.74
799876,Five Feet Apart,"Drama, Romance",Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moises Arias, Kimberly Hebert Gregory","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.",90,2007,67,117950,8.58
44896,Rango,"Animation, Action, Adventure",Gore Verbinski,"Johnny Depp, Isla Fisher, Timothy Olyphant, Abigail Breslin","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",92,2010,51,51654,42.74
9016,Treasure Planet,"Animation, Adventure, Family",Ron Clements,"John Musker, Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne","In this science fiction rendering of the classic novel ""Treasure Island"", Jim Hawkins (Joseph Gordon-Levitt) is a rebellious teen seen by the world as an aimless slacker. After he receives ...                ",90,2007,67,117950,8.58
,Manhunter,"Crime, Mystery, Thriller",Michael Mann,"William Petersen, Kim Greist, Joan Allen, Brian Cox","Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media.",121,2000,64,195440,71.51
,Kynodontas,"Drama, Thriller",Yorgos Lanthimos,"Christos Stergioglou, Michele Valley, Angeliki Papoulia, Christos Passalis","A controlling, manipulative father locks his three adult offspring in a state of perpetual childhood by keeping them prisoner within the sprawling family compound.",79,1961,83,172965,144.88
520763,Wild at Heart,"Comedy, Crime, Drama",David Lynch,"Nicolas Cage, Laura Dern, Willem Dafoe, J.E. Freeman",Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,124,2015,64,80497,2.7
1574,Chicago,"Comedy, Crime, Musical",Rob Marshall,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",91,1974,67,20480,0.16
34647,Enter the Void,"Drama, Fantasy",Gaspar Noé,"Nathaniel Brown, Paz de la Huerta, Cyril Roy, Olly Alexander","An American drug dealer living in Tokyo is betrayed by his best friend and killed in a drug deal. His soul, observing the repercussions of his death, seeks resurrection.",87,2007,80,337207,183.14
310307,The Courier,"Drama, History, Thriller",Dominic Cooke,"Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, Vladimir Chuprikov",Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.,97,2011,59,47591,16.94
10537,The Doors,"Biography, Drama, Music",Oliver Stone,"Val Kilmer, Meg Ryan, Kyle MacLachlan, Frank Whaley","The story of the famous and influential 1960s rock band The Doors and its lead singer and composer, Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971.",88,1977,59,47591,16.94
,RocknRolla,"Action, Crime, Thriller",Guy Ritchie,"Gerard Butler, Tom Wilkinson, Idris Elba, Thandiwe Newton","When a Russian mobster orchestrates a crooked land deal, millions of dollars are up for grabs, drawing in the entire London underworld into a feeding frenzy at a time when the old criminal regime is losing turf to a wealthy foreign mob.",111,1983,82,25007,5.9
,An American Crime,"Biography, Crime, Drama",Tommy O'Haver,"Elliot Page, Hayley McFarland, Nick Searcy, Romy Rosemont","The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.",111,1993,80,49731,22.55
9837,The Prince of Egypt,"Animation, Adventure, Drama",Brenda Chapman,"Steve Hickner, Simon Wells, Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock",Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,109,2012,78,16862,4.33
,Mask,"Biography, Drama",Peter Bogdanovich,"Cher, Eric Stoltz, Sam Elliott, Estelle Getty",A teenager with a massive facial skull deformity and biker gang mother attempt to live as normal a life as possible under the circumstances.,111,1993,80,49731,22.55
646,Dr. No,"Action, Adventure, Thriller",Terence Young,"Sean Connery, Ursula Andress, Bernard Lee, Joseph Wiseman",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,109,2012,78,16862,4.33
,Willow,"Action, Adventure, Drama",Ron Howard,"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh",A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.,120,2007,45,152702,28.48
2604,Born on the Fourth of July,"Biography, Drama, War",Oliver Stone,"Tom Cruise, Bryan Larkin, Raymond J. Barry, Caroline Kava","The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country for which he fought.",116,1985,81,35414,17.31
,Old Henry,"Action, Drama, Western",Potsy Ponciroli,"Tim Blake Nelson, Scott Haze, Gavin Lewis, Trace Adkins","An action western about a farmer who takes in an injured man with a satchel of cash. When a posse comes for the money, he must decide who to trust. Defending a siege, he reveals a gunslinging talent calling his true identity into question.",133,2007,56,112049,24.34
,Papillon,"Adventure, Biography, Crime",Michael Noer,"Charlie Hunnam, Damijan Oklopdzic, Christopher Fairbank, Jason Ryan","Wrongfully convicted for murder, Henri Charriere forms an unlikely relationship with fellow inmate and quirky convicted counterfeiter, Louis Dega, in an attempt to escape from the notorious penal colony on Devil's Island.",112,1974,78,24708,18.6
18320,The Young Victoria,"Biography, Drama, History",Jean-Marc Vallée,"Emily Blunt, Rupert Friend, Paul Bettany, Miranda Richardson","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert.",135,2009,58,113470,7.99
12149,Frailty,"Crime, Drama, Thriller",Bill Paxton,"Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary","A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons.""",109,1996,80,21569,11.88
220289,The Post,"Biography, Drama, History",Steven Spielberg,"Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.,111,2019,48,47591,16.94
384680,Fracture,"Crime, Drama, Thriller",Gregory Hoblit,"Anthony Hopkins, Ryan Gosling, David Strathairn, Rosamund Pike",An attorney intending on climbing the career ladder toward success finds an unlikely opponent in a manipulative criminal he is trying to prosecute.,76,1955,78,140374,93.6
174,Star Trek VI: The Undiscovered Country,"Action, Adventure, Sci-Fi",Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",111,2019,48,47591,16.94
,Angel Heart,"Horror, Mystery, Thriller",Alan Parker,"Mickey Rourke, Robert De Niro, Lisa Bonet, Charlotte Rampling",A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.,76,1955,78,140374,93.6
,The Parent Trap,"Comedy, Family, Romance",David Swift,"Hayley Mills, Maureen O'Hara, Brian Keith, Charles Ruggles",Teenage twin sisters swap places and scheme to reunite their divorced parents.,113,2001,68,83607,0.49
,Till,"Biography, Crime, Drama",Chinonye Chukwu,"Danielle Deadwyler, Jalyn Hall, Frankie Faison, Haley Bennett","In 1955, after Emmett Till is murdered in a brutal lynching, his mother vows to expose the racism behind the attack while working to have those involved brought to justice.",140,2003,72,74767,120.28
1381,The Fountain,"Drama, Mystery, Romance",Darren Aronofsky,"Hugh Jackman, Rachel Weisz, Sean Patrick Thomas, Ellen Burstyn","As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi.",106,2015,30,23484,6.42
,The Great Race,"Action, Adventure, Comedy",Blake Edwards,"Tony Curtis, Natalie Wood, Jack Lemmon, Peter Falk","In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.",108,2020,66,49074,13.59
,D.O.A.,"Crime, Drama, Film-Noir",Rudolph Maté,"Edmond O'Brien, Pamela Britton, Luther Adler, Beverly Garland","Frank Bigelow, told he's been poisoned and has only a few days to live, tries to find out who killed him and why.",133,2010,66,118825,2.7
10436,The Age of Innocence,"Drama, Romance",Martin Scorsese,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas","A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",108,2020,66,49074,13.59
258480,Top Secret!,"Comedy, Crime, Music",Jim Abrahams,"David Zucker, Jerry Zucker, Val Kilmer, Omar Sharif, Jeremy Kemp, Warren Clarke",An American rock and roll singer (Val Kilmer) becomes involved in a Resistance plot to rescue a scientist (Michael Gough) imprisoned in East Germany.,133,2010,66,118825,2.7
837,Videodrome,"Horror, Sci-Fi, Thriller",David Cronenberg,"James Woods, Debbie Harry, Sonja Smits, Peter Dvorsky",A programmer at a TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.,130,1996,79,97422,20.19
,Friday Night Lights,"Action, Drama, Sport",Peter Berg,"Billy Bob Thornton, Jay Hernandez, Derek Luke, Lucas Black","Based on H.G. Bissinger's book, which profiled the economically depressed town of Odessa, Texas and their heroic high school football team, The Permian High Panthers.",95,1976,62,47591,16.94
,Lethal Weapon 2,"Action, Crime, Thriller",Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Patsy Kensit",Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,84,1998,72,182122,3.22
321697,Steve Jobs,"Biography, Drama",Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.",109,1980,73,57568,30.03
2289,Cold Mountain,"Adventure, Drama, Romance",Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",117,1990,56,73764,5.02
11386,The Crying Game,"Crime, Drama, Romance",Neil Jordan,"Stephen Rea, Jaye Davidson, Forest Whitaker, Miranda Richardson","A British soldier kidnapped by the IRA soon befriends one of his captors, who then becomes drawn into the soldier's world.",123,1972,55,33695,36.73
5279,Gosford Park,"Comedy, Drama, Mystery",Robert Altman,"Maggie Smith, Ryan Phillippe, Michael Gambon, Kristin Scott Thomas","Set in the 1930s, a group of pretentious rich and famous get together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect.",115,1994,51,18843,16.1
527641,T2 Trainspotting,"Comedy, Crime, Drama",Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Robert Carlyle","After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud, and Begbie.",123,1972,55,33695,36.73
11978,Men of Honor,"Biography, Drama",George Tillman Jr.,"Cuba Gooding Jr., Robert De Niro, Charlize Theron, Aunjanue Ellis-Taylor","The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him.",115,1994,51,18843,16.1
3989,Team America: World Police,"Action, Comedy",Trey Parker,"Trey Parker, Matt Stone, Elle Russ, Kristen Miller","Popular Broadway actor Gary Johnston is recruited by the elite counter-terrorism organization Team America: World Police. As the world begins to crumble around him, he must battle with terrorists, celebrities and falling in love.",109,2015,51,60589,33.31
11454,Strange Days,"Crime, Drama, Sci-Fi",Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore",A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,91,1976,89,47591,16.94
228326,The Book of Life,"Animation, Adventure, Comedy",Jorge R. Gutiérrez,"Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman","Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.",109,2005,54,80204,19.98
483,The Witcher: Nightmare of the Wolf,"Animation, Action, Adventure",Kwang Il Han,"Theo James, Mary McDonnell, Lara Pulver, Graham McTavish","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past.",91,1976,89,47591,16.94
81188,Rise of the Guardians,"Animation, Action, Adventure",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine","When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",109,2005,54,80204,19.98
49519,The Croods,"Animation, Action, Adventure",Kirk DeMicco,"Chris Sanders, Nicolas Cage, Ryan Reynolds, Emma Stone, Catherine Keener","After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",102,1954,75,25941,9.4
522241,Dead Ringers,"Drama, Horror, Thriller",David Cronenberg,"Jeremy Irons, Geneviève Bujold, Heidi von Palleske, Barbara Gordon","Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman.",97,2006,65,137970,24.15
152737,August: Osage County,"Comedy, Drama",John Wells,"Meryl Streep, Dermot Mulroney, Julia Roberts, Juliette Lewis","A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Oklahoma house they grew up in, and to the dysfunctional woman who raised them.",114,2005,88,136027,28.75
