id,MovieName,Genre,Directors,Stars,Overviews,Watch_time,Year_of_Release,Meta_Score,Votes,Gross_Collection(M$)
,Jai Bhim,"Crime, Drama, Mystery",T.J. Gnanavel,"Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",164,2022,59,47591,16.94
414419,Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen","The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.",138,2020,59,47591,16.94
,777 Charlie,"Adventure, Comedy, Drama",Kiranraj K,"Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,95,1984,59,47591,16.94
,Balkanski spijun,"Comedy, Drama",Dusan Kovacevic,"Bozidar 'Bota' Nikolic, Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac, Sonja Savic","Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.",80,1976,59,47591,16.94
,#Home,Drama,Rojin Thomas,"Indrans, Sreenath Bhasi, Manju Pillai, Naslen","Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",92,1982,59,47591,16.94
,Süt Kardesler,"Comedy, Family, Mystery",Ertem Egilmez,"Kemal Sunal, Sener Sen, Halit Akçatepe, Hale Soygazi","Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is ...                ",169,1993,59,47591,16.94
,Maratonci trce pocasni krug,"Comedy, Drama",Slobodan Sijan,"Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic, Mija Aleksic","The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.",94,1977,59,47591,16.94
,Manichitrathazhu,"Comedy, Horror, Mystery",Fazil,"Shobana, Mohanlal, Suresh Gopi, Vinaya Prasad","When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.",169,2014,74,1890632,188.02
,Hababam Sinifi Uyaniyor,"Adventure, Comedy",Ertem Egilmez,"Kemal Sunal, Münir Özkul, Halit Akçatepe, Adile Nasit",A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,145,1990,91,1183928,46.84
157336,Interstellar,"Adventure, Drama, Sci-Fi",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",136,1999,73,1946221,171.48
769,GoodFellas,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",133,1975,84,1023436,112
603,The Matrix,"Action, Sci-Fi",Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",170,2022,59,47591,16.94
510,One Flew Over the Cuckoo's Nest,Drama,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",157,2022,59,47591,16.94
,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",153,2020,59,47591,16.94
,The Kashmir Files,Drama,Vivek Agnihotri,"Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi","A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",154,2018,59,47591,16.94
