JobType,PositionLevel,Location,WorkingExperience,Qualification,min_age,max_age,Salary_min,Salary_max
Full Time,Non-Executive,Phnom Penh,0,Bacc2,18.0,30.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,18.0,30.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Associate,25.0,35.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,2,Bachelor,25.0,30.0,1001.0,1500.0
Temporary Contract,Senior Executive,Phnom Penh,5,Bachelor,28.0,45.0,1001.0,1500.0
Temporary Contract,Senior Executive,Phnom Penh,5,Bachelor,28.0,45.0,1001.0,1500.0
Temporary Contract,Junior Executive,Phnom Penh,2,Bachelor,25.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,0,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,30.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Associate,18.0,50.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Master,25.0,30.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,22.0,35.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,20.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Associate,18.0,50.0,1001.0,1500.0
Full Time,Fresh,Phnom Penh,2,Bachelor,25.0,35.0,1001.0,1500.0
Full Time,Senior Executive,Preah Sihanouk,5,Bachelor,25.0,35.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Senior Manager,Preah Sihanouk,5,Bachelor,25.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,30.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Associate,18.0,50.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,1,Associate,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,25.0,40.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bacc2,18.0,60.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,1,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Battambang,1,Bacc2,20.0,45.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,2,Associate,18.0,40.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,40.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Associate,18.0,30.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,1,Bacc2,18.0,26.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,23.0,30.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,0,Bacc2,20.0,35.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,40.0,1001.0,1500.0
Full Time,Senior Executive,Svay Rieng,0,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,20.0,40.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bacc2,18.0,30.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Train,18.0,32.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,22.0,32.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,23.0,29.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bacc2,18.0,45.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,40.0,1001.0,1500.0
Full Time,Senior Manager,Phnom Penh,2,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Fresh,Poipet,0,Bachelor,21.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Preah Sihanouk,1,Bachelor,23.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Banteay Meanchey,0,Bachelor,20.0,30.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Kampong Cham,1,Bacc2,20.0,45.0,201.0,500.0
Full Time,Senior Manager,Phnom Penh,5,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Fresh,Battambang,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,30.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bacc2,20.0,40.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Preah Sihanouk,2,Bacc2,25.0,40.0,201.0,500.0
Full Time,Senior Executive,Preah Sihanouk,1,Bacc2,18.0,35.0,501.0,1000.0
Full Time,Junior Executive,Battambang,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Associate,20.0,40.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Non-Executive,Phnom Penh,2,Bachelor,20.0,38.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,23.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,5,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,20.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,28.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,25.0,40.0,201.0,500.0
Full Time,Junior Executive,Battambang,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,0,Bacc2,18.0,30.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Non-Executive,Phnom Penh,2,Associate,20.0,35.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,22.0,30.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,20.0,30.0,201.0,500.0
Full Time,Fresh,Phnom Penh,1,Bachelor,18.0,40.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,1,Bachelor,25.0,35.0,501.0,1000.0
Full Time,Junior Executive,Preah Sihanouk,2,Bachelor,23.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Senior Executive,Phnom Penh,0,Bachelor,25.0,30.0,501.0,1000.0
Full Time,Senior Manager,Phnom Penh,5,Bachelor,23.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,0,Bacc2,20.0,40.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,5,Bachelor,23.0,50.0,1001.0,1500.0
Full Time,Senior Executive,Phnom Penh,5,Bachelor,23.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,22.0,30.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,2,Bachelor,25.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,23.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,28.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,23.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,40.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,20.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,23.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,2,Bachelor,18.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Associate,22.0,28.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bacc2,23.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,23.0,35.0,501.0,1000.0
Full Time,Junior Executive,Kandal,2,Bacc2,20.0,35.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,0,Bachelor,25.0,30.0,501.0,1000.0
Temporary Contract,Senior Executive,Battambang,2,Bachelor,20.0,40.0,501.0,1000.0
Full Time,Non-Executive,Battambang,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Battambang,2,Bachelor,20.0,40.0,501.0,1000.0
Full Time,Non-Executive,Battambang,0,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,2,Bachelor,26.0,35.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,21.0,35.0,201.0,500.0
Full Time,Junior Executive,Preah Sihanouk,2,Bachelor,28.0,40.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Fresh,Phnom Penh,1,Diploma,25.0,35.0,201.0,500.0
Full Time,Senior Manager,Phnom Penh,5,Bachelor,28.0,45.0,1501.0,2000.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,28.0,45.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,28.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Diploma,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,20.0,25.0,201.0,500.0
Full Time,Junior Executive,Siem Reap,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Siem Reap,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,22.0,35.0,201.0,500.0
Full Time,Non-Executive,Preah Sihanouk,0,Bacc2,18.0,50.0,201.0,500.0
Temporary Contract,Non-Executive,Preah Sihanouk,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bacc2,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Senior Manager,Siem Reap,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,30.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,0,Bachelor,18.0,55.0,201.0,500.0
Full Time,Non-Executive,Kampong Speu,1,Bachelor,18.0,30.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,20.0,35.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Phnom Penh,0,Bacc2,18.0,40.0,201.0,500.0
Full Time,Non-Executive,Svay Rieng,0,Bachelor,18.0,30.0,501.0,1000.0
Full Time,Junior Executive,Kandal,1,Bachelor,22.0,29.0,201.0,500.0
Full Time,Junior Executive,Kampong Speu,0,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,25.0,35.0,201.0,500.0
Full Time,Fresh,Phnom Penh,1,Bachelor,20.0,35.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,18.0,55.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,25.0,40.0,201.0,500.0
Full Time,Junior Executive,Poipet,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,1,Associate,18.0,30.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Non-Executive,Phnom Penh,2,Bachelor,18.0,50.0,1001.0,1500.0
Full Time,Junior Executive,Phnom Penh,1,Bachelor,21.0,35.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,28.0,45.0,1001.0,1500.0
Full Time,Non-Executive,Phnom Penh,1,Bachelor,18.0,50.0,201.0,500.0
Full Time,Junior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Fresh,Phnom Penh,0,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Junior Executive,Kandal,1,Bachelor,20.0,35.0,201.0,500.0
Full Time,Junior Executive,Bavet,1,Bachelor,18.0,35.0,201.0,500.0
Full Time,Senior Executive,Phnom Penh,1,Bachelor,35.0,50.0,1501.0,2000.0
Full Time,Junior Executive,Bavet,1,Bachelor,20.0,30.0,501.0,1000.0
Full Time,Senior Executive,Phnom Penh,2,Bachelor,18.0,50.0,501.0,1000.0
Full Time,Senior Executive,Siem Reap,2,Bachelor,18.0,50.0,501.0,1000.0
